brokerId;lat;lon;function;boxMinX;boxMinY;boxMaxX;boxMaxY
Asuncion-1600057911;-25.2964;-57.6415;Broker;null;null;null;null
Asuncion-1600057911;-87.00000000000006;-177.00000000000006;BrokerField;-180.0;-90.0;-174.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-171.00000000000006;BrokerField;-174.0;-90.0;-168.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-165.00000000000006;BrokerField;-168.0;-90.0;-162.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-159.00000000000006;BrokerField;-162.0;-90.0;-156.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-153.00000000000006;BrokerField;-156.0;-90.0;-150.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-147.00000000000006;BrokerField;-150.0;-90.0;-144.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-141.00000000000006;BrokerField;-144.0;-90.0;-138.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-135.00000000000006;BrokerField;-138.0;-90.0;-132.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-129.00000000000006;BrokerField;-132.0;-90.0;-126.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-123.00000000000006;BrokerField;-126.0;-90.0;-120.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-117.00000000000006;BrokerField;-120.0;-90.0;-114.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-111.00000000000006;BrokerField;-114.0;-90.0;-108.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-105.00000000000006;BrokerField;-108.0;-90.0;-102.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-99.00000000000006;BrokerField;-102.0;-90.0;-96.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-93.00000000000006;BrokerField;-96.0;-90.0;-90.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-87.00000000000006;BrokerField;-90.0;-90.0;-84.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-81.00000000000006;BrokerField;-84.0;-90.0;-78.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-75.00000000000006;BrokerField;-78.0;-90.0;-72.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-69.00000000000006;BrokerField;-72.0;-90.0;-66.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-63.00000000000005;BrokerField;-66.0;-90.0;-60.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-57.00000000000005;BrokerField;-60.0;-90.0;-54.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-51.00000000000005;BrokerField;-54.0;-90.0;-48.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-45.00000000000005;BrokerField;-48.0;-90.0;-42.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-39.00000000000005;BrokerField;-42.0;-90.0;-36.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-33.00000000000005;BrokerField;-36.0;-90.0;-30.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-27.00000000000005;BrokerField;-30.0;-90.0;-24.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-21.00000000000005;BrokerField;-24.0;-90.0;-18.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-15.00000000000005;BrokerField;-18.0;-90.0;-12.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-9.00000000000005;BrokerField;-12.0;-90.0;-6.0000000000001;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;-3.00000000000005;BrokerField;-6.0;-90.0;-1.0E-13;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;2.99999999999995;BrokerField;0.0;-90.0;5.9999999999999;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;8.99999999999995;BrokerField;6.0;-90.0;11.9999999999999;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;14.99999999999995;BrokerField;12.0;-90.0;17.9999999999999;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;20.99999999999995;BrokerField;18.0;-90.0;23.9999999999999;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;26.99999999999995;BrokerField;24.0;-90.0;29.9999999999999;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;32.99999999999995;BrokerField;30.0;-90.0;35.9999999999999;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;38.99999999999995;BrokerField;36.0;-90.0;41.9999999999999;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;44.99999999999995;BrokerField;42.0;-90.0;47.9999999999999;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;50.99999999999995;BrokerField;48.0;-90.0;53.9999999999999;-84.0000000000001
Asuncion-1600057911;-87.00000000000006;56.99999999999995;BrokerField;54.0;-90.0;59.9999999999999;-84.0000000000001
